"","COUNTRY","YEAR","UNEMP","INCOME","BEER","OTHER","SPIRITS","WINE","MORTALITY"
"147","Italy","2006",6.8,20810,1.51,0,0.85,4.89,29.3641519546175
"148","Cyprus","2006",4.6,17839,3.58,0,4.97,2.92,13.9009018902074
"149","Latvia","2006",7,9652,4.09,0.78,4.48,1.06,71.9514644509725
"150","Lithuania","2006",5.8,11115,6,0.8,4.5,1.4,107.792172852116
"151","Luxembourg","2006",4.6,30139,4.57,0,2.49,5.11,56.6802944657588
"152","Hungary","2006",7.5,11443,4.38,0,4.25,4.53,112.788642892783
"153","Netherlands","2006",5,22852,4.77,0,1.59,3.42,18.2378581911605
"154","Austria","2006",5.3,23618,6.7,0,1.5,4.2,37.4175142778359
"155","Poland","2006",13.9,9502,5.9,0,3.2,1.3,51.9747202560459
"156","Portugal","2006",8.9,16254,3.78,0.49,1.08,7.78,73.7820943879231
"157","Romania","2006",7.2,6614,4.62,0,0.9,2.99,124.657940836371
"158","Slovenia","2006",6,15181,5.7,0,1.13,5.43,30.344296383014
"159","Slovakia","2006",13.5,10428,3.83,0,4.31,2.16,46.3956896393283
"160","Finland","2006",7.7,18376,4.57,1.17,2.86,1.55,37.9843748668664
"161","Sweden","2006",7.1,19703,2.5,0.1,1,2.9,21.2650520726833
"162","United Kingdom","2006",5.4,21863,4.7,0.75,2.25,3.25,18.2718787401523
"163","Belgium","2007",7.5,21794,5.2,0.02,3.96,4.26,32.1950371453885
"164","Bulgaria","2007",6.9,6776,4.41,0.07,4.73,1.7,39.9890424689599
"165","Czechia","2007",5.3,13950,7.03,0,3.86,2.46,58.7236061826272
"166","Denmark","2007",3.8,19614,4.77,0.07,1.74,4.42,55.4494263836337
"167","Germany","2007",8.5,23102,6.48,0,2.16,3.24,36.4074588517268
"168","Estonia","2007",4.6,11215,5.3,1.4,9.28,1.39,90.2258060255281
"169","Ireland","2007",5,20952,6.63,1.06,2.68,3,45.1418207463493
"170","Greece","2007",8.4,18984,2.38,0.17,2.26,4.88,25.8331758617149
"171","Spain","2007",8.2,18502,5.09,0,3.18,2.78,44.7824237181046
"172","France","2007",8,22330,2.3,0.3,2.7,7.3,48.0476310457239
"173","Croatia","2007",9.9,10659,5.13,0.41,1.24,5.5,65.1704674419296
"174","Italy","2007",6.1,21660,1.55,0,0.72,4.92,27.1244751382318
"175","Cyprus","2007",3.9,19310,3.71,0,4.95,2.92,13.4838232851848
"176","Latvia","2007",6.1,10768,4.15,0.88,5.91,1.18,74.2065457956792
"177","Lithuania","2007",4.3,11598,5.6,1.6,5.3,0.9,115.358958231922
"178","Luxembourg","2007",4.2,30806,4.39,0,2.43,5.12,54.5251962814102
"179","Hungary","2007",7.4,11288,4.58,0,4.12,3.85,108.160804706945
"180","Netherlands","2007",4.2,24045,4.76,0,1.59,3.17,17.9093040053631
"181","Austria","2007",4.9,24326,6.4,0,1.7,4.4,36.5423002052778
"182","Poland","2007",9.6,10560,6.1,0,3.5,1.3,52.4193874616621
"183","Portugal","2007",9.1,16583,3.71,0.51,1.06,7.31,71.2364885116909
"184","Romania","2007",6.4,7138,5.44,0,1.9,3.3,121.751768531771
"185","Slovenia","2007",4.9,15910,5.7,0,1.24,4.08,27.9822092306412
"186","Slovakia","2007",11.2,11754,3.94,0,4.9,1.79,44.8760441313653
"187","Finland","2007",6.9,20071,4.7,1.25,2.86,1.64,38.3139793586605
"188","Sweden","2007",6.1,21260,2.6,0.1,1.1,3.1,20.4135802130522
"189","United Kingdom","2007",5.3,22486,4.45,0.8,2.35,3.53,18.0974654429261
"190","Belgium","2008",7,22285,5.04,0.06,1.59,3.83,33.2128409658734
"191","Bulgaria","2008",5.6,7626,4.41,0.07,4.8,1.73,39.6804108523179
"192","Czechia","2008",4.4,14250,7.15,0,3.74,2.45,56.6496853216348
"193","Denmark","2008",3.7,19703,4.51,0.06,1.66,4.47,51.1142665366024
