"","","","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Kyrgyzstan"," Data source"," Wine","0.12","0.12","0.12","0.12","0.12","0.14","0.21","0.22","0.22","0.09"
"Kyrgyzstan"," Data source"," Spirits","5.39","6.16","6.10","6.00","5.75","5.90","5.68","5.31","5.20","4.97"
"Kyrgyzstan"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Latvia"," Data source"," All types","9.85","11.84","12.12","10.40","9.92","8.81","8.24","7.44","6.68","7.13"
"Latvia"," Data source"," Beer","4.35","4.12","4.15","4.09","3.80","3.69","2.97","2.74","2.12","1.97"
"Latvia"," Data source"," Wine","1.03","1.13","1.18","1.06","0.94","0.95","1.78","1.50","1.38","1.60"
"Latvia"," Data source"," Spirits","3.94","5.80","5.91","4.48","4.57","3.74","3.33","3.04","3.04","3.45"
"Latvia"," Data source"," Other alcoholic beverages","0.53","0.79","0.88","0.78","0.60","0.43","0.16","0.16","0.14","0.11"
"Lithuania"," Data source"," All types","12.40","13.30","13.40","12.70","12.30","12.10","11.29","11.00","10.20","9.87"
"Lithuania"," Data source"," Beer","5.40","5.40","5.60","6.00","5.80","4.62","4.58","4.66","4.00","3.78"
"Lithuania"," Data source"," Wine","0.90","0.90","0.90","1.40","1.40","2.37","2.24","2.06","1.89","2.10"
"Lithuania"," Data source"," Spirits","4.60","5.50","5.30","4.50","4.50","4.31","3.71","3.59","3.67","3.30"
"Lithuania"," Data source"," Other alcoholic beverages","1.50","1.50","1.60","0.80","0.60","0.79","0.76","0.69","0.64","0.69"
"Luxembourg"," Data source"," All types","11.60","11.72","11.94","12.17","12.02","12.42","12.61","12.91","12.89","13.14"
"Luxembourg"," Data source"," Beer","4.27","4.28","4.39","4.57","4.46","4.27","4.36","4.46","4.43","4.62"
"Luxembourg"," Data source"," Wine","4.91","4.97","5.12","5.11","5.12","5.58","5.75","5.86","5.81","5.88"
"Luxembourg"," Data source"," Spirits","2.43","2.48","2.43","2.49","2.44","2.58","2.50","2.59","2.66","2.64"
"Luxembourg"," Data source"," Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Malta"," Data source"," All types","7.53","7.27","7.62","9.03","6.55","6.66","6.80","6.11","5.95","5.88"
"Malta"," Data source"," Beer","2.71","2.66","2.37","2.15","1.70","1.86","1.83","2.61","2.72","2.83"
"Malta"," Data source"," Wine","2.94","2.71","3.27","4.95","2.96","3.01","3.08","1.58","1.38","1.17"
"Malta"," Data source"," Spirits","1.55","1.55","1.62","1.60","1.58","1.53","1.87","1.90","1.85","1.88"
"Malta"," Data source"," Other alcoholic beverages","0.33","0.35","0.36","0.33","0.31","0.27","0.02","0.03","0","0"
"Montenegro"," Data source"," All types","7.26","6.94","5.69","6.53","","","","","",""
